     Molecular Orbital Coefficients:
                           1         2         3         4         5
                           O         O         O         O         O
     Eigenvalues --  -372.66755-235.72701 -46.03921 -40.79270 -40.79111
   133        3PZ      -0.00001   0.00000  -0.00008   0.00006   0.00002
   134        4S       -0.00002  -0.00003  -0.00033  -0.00026  -0.00001
   135        4PX      -0.00001  -0.00001  -0.00009  -0.00009   0.00036
   136        4PY       0.00000   0.00000   0.00000  -0.00004  -0.00002
   137        4PZ       0.00003   0.00003   0.00036   0.00024  -0.00023
   138        5S        0.00078   0.00008   0.01043   0.00717  -0.00642
   139        5PX       0.00000  -0.00004  -0.00003  -0.00008   0.00132
   140        5PY       0.00003   0.00000   0.00033   0.00031   0.00016
   141        5PZ      -0.00031  -0.00003  -0.00416  -0.00443   0.00118
   142        6D 0      0.00000   0.00000  -0.00005  -0.00014   0.00000
   143        6D+1      0.00000   0.00000   0.00000   0.00001   0.00001
   144        6D-1      0.00000   0.00000   0.00000   0.00000   0.00000
   145        6D+2      0.00000   0.00000  -0.00001  -0.00001  -0.00001
   146        6D-2      0.00000   0.00000   0.00000   0.00000   0.00000
   147 6   N  1S        0.00000   0.00000   0.00000   0.00000   0.00000
   148        2S        0.00000   0.00000   0.00000   0.00000   0.00000
   149        2PX       0.00000   0.00000   0.00000   0.00000   0.00000
   150        2PY       0.00000   0.00000   0.00000   0.00000   0.00000
   151        2PZ       0.00000   0.00000   0.00000   0.00000   0.00000
   152        3S        0.00000   0.00002   0.00000  -0.00003   0.00001
   153        3PX       0.00000   0.00001   0.00001  -0.00002   0.00002
   154        3PY       0.00000  -0.00001  -0.00001  -0.00001   0.00000
   155        3PZ       0.00000   0.00000  -0.00001   0.00000   0.00000
   156        4S        0.00000  -0.00006   0.00000   0.00023   0.00009
   157        4PX      -0.00001  -0.00012  -0.00013   0.00016  -0.00017
   158        4PY       0.00001   0.00013   0.00008   0.00009   0.00002
   159        4PZ       0.00002   0.00002   0.00029  -0.00011  -0.00012
   160        5S        0.00017  -0.00022   0.00221   0.00416  -0.00255
   161        5PX       0.00009  -0.00021   0.00119   0.00101  -0.00086
   162        5PY      -0.00008   0.00027  -0.00108  -0.00176   0.00125
   163        5PZ      -0.00010  -0.00003  -0.00132  -0.00021   0.00069
   164        6D 0      0.00000   0.00000   0.00000   0.00000   0.00000
   165        6D+1      0.00000   0.00000   0.00000   0.00000   0.00000
   166        6D-1      0.00000   0.00000   0.00000   0.00000   0.00000
   167        6D+2      0.00000   0.00000   0.00000   0.00001   0.00000
   168        6D-2      0.00000   0.00000   0.00000   0.00000   0.00001
   169 7   N  1S        0.00000   0.00000   0.00000   0.00000   0.00000
   170        2S        0.00000   0.00000  -0.00001   0.00000   0.00001
   171        2PX       0.00000   0.00000  -0.00001   0.00000   0.00000
   172        2PY       0.00000   0.00000   0.00000   0.00001   0.00000
   173        2PZ       0.00000   0.00000  -0.00001  -0.00001   0.00000
   174        3S        0.00001   0.00002   0.00011   0.00000  -0.00009
   175        3PX       0.00000   0.00000   0.00005   0.00000  -0.00005
